8.983202, -7.455850, 0.705943
9.751464, -7.499358, 0.661936
10.503028, -7.501892, 0.618346
11.233288, -7.462640, 0.575277
11.937696, -7.381121, 0.532828
12.611786, -7.257185, 0.491096
13.251206, -7.091020, 0.450175
13.851750, -6.883151, 0.410157
14.409386, -6.634436, 0.371128
14.920286, -6.346063, 0.333173
15.380848, -6.019537, 0.296373
15.787731, -5.656671, 0.260804
16.137869, -5.259570, 0.226538
16.428503, -4.830615, 0.193645
16.657194, -4.372438, 0.162189
16.821848, -3.887907, 0.132230
16.920728, -3.380094, 0.103824
16.952470, -2.852257, 0.077022
16.916094, -2.307801, 0.051871
16.811017, -1.750260, 0.028412
16.637052, -1.183259, 0.006683
16.394419, -0.610484, -0.013285
16.083745, -0.035652, -0.031462
15.706058, 0.537522, -0.047828
15.262792, 1.105357, -0.062365
14.755768, 1.664238, -0.075059
14.187197, 2.210644, -0.085903
13.559659, 2.741184, -0.094895
12.876093, 3.252617, -0.102036
12.139779, 3.741886, -0.107334
11.354317, 4.206139, -0.110800
10.523610, 4.642755, -0.112452
9.651834, 5.049363, -0.112312
8.743419, 5.423858, -0.110405
7.803017, 5.764423, -0.106763
6.835476, 6.069536, -0.101421
5.845808, 6.337983, -0.094420
4.839162, 6.568865, -0.085803
3.820784, 6.761601, -0.075621
2.795992, 6.915929, -0.063925
1.770139, 7.031906, -0.050773
0.748578, 7.109901, -0.036226
-0.263369, 7.150588, -0.020348
-1.260445, 7.154935, -0.003207
-2.237494, 7.124189, 0.015125
-3.189491, 7.059864, 0.034573
-4.111571, 6.963717, 0.055058
-4.999067, 6.837732, 0.076501
-5.847532, 6.684095, 0.098817
-6.652772, 6.505168, 0.121920
-7.410869, 6.303467, 0.145721
-8.118207, 6.081632, 0.170130
-8.771492, 5.842398, 0.195054
-9.367776, 5.588569, 0.220398
-9.904473, 5.322985, 0.246067
-10.379372, 5.048497, 0.271963
-10.790654, 4.767935, 0.297988
-11.136899, 4.484077, 0.324043
-11.417097, 4.199628, 0.350028
-11.630650, 3.917187, 0.375843
-11.777375, 3.639223, 0.401387
-11.857504, 3.368054, 0.426560
-11.871679, 3.105821, 0.451262
-11.820951, 2.854469, 0.475393
-11.706763, 2.615733, 0.498855
-11.530946, 2.391117, 0.521550
-11.295700, 2.181884, 0.543380
-11.003583, 1.989047, 0.564251
-10.657486, 1.813360, 0.584069
-10.260618, 1.655314, 0.602742
